,Main_Genre,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,studio,title,worldwide_gross,year,metacritic,synopsis,cast
0,Action,Adventure,Drama,7.4,135,1,PG-13,Walt Disney Pictures,Black Panther,700059566.0,2018,88,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
1,Action,Adventure,Sci-Fi,8.5,156,2,PG-13,Walt Disney Pictures,Avengers: Infinity War,678815482.0,2018,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans"
2,Animation,Action,Adventure,7.8,118,3,PG,Pixar,Incredibles 2,608581744.0,2018,80,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.","Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner"
3,Action,Adventure,Drama,6.2,129,4,PG-13,Universal Pictures,Jurassic World: Fallen Kingdom,416769345.0,2018,51,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith"
4,Action,Comedy,,7.8,119,5,R,20th Century Fox,Deadpool 2,318491426.0,2018,66,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
5,Action,Adventure,Drama,7.9,147,6,PG-13,Paramount Pictures,Mission: Impossible - Fallout,220159104.0,2018,86,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
6,Action,Comedy,,7.2,118,7,PG-13,Walt Disney Pictures,Ant-Man and the Wasp,216648740.0,2018,70,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins"
7,Action,Adventure,Drama,7.0,135,8,PG-13,Walt Disney Pictures,Solo: A Star Wars Story,213767512.0,2018,62,"During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.","Alden Ehrenreich, Joonas Suotamo, Woody Harrelson, Emilia Clarke"
8,Action,Adventure,Drama,6.9,112,9,PG-13,Columbia Pictures,Venom,213030843.0,2018,35,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
9,Music,Drama,,8.1,135,10,R,Warner Bros,A Star is Born ,199721727.0,2018,88,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,"Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay"
